id;cnpj;nome_oficial_empresa;nome_cormecial_empresa;situacao_cadastral;data_abertura;natureza_juridica;cnae;capital_social;porte_empresa;cep;uf;cidade;bairro;logradouro
17;33042730000104;COMPANHIA SIDERURGICA NACIONAL;COMPANHIA SIDERURGICA NACIONAL;2;1966-08-08;Sociedade Anônima Aberta;2422901;10240000000.0;DEMAIS;04538132;SP;SAO PAULO;ITAIM BIBI;BRIGADEIRO FARIA LIMA
18;60894730000105;USINAS SIDERURGICAS DE MINAS GERAIS S/A. USIMINAS;;2;1966-09-08;Sociedade Anônima Aberta;2422901;13200295000.0;DEMAIS;30110044;MG;BELO HORIZONTE;SAVASSI;DO CONTORNO
19;42150391000170;BRASKEM S.A;BRASKEM;2;1973-03-12;Sociedade Anônima Aberta;2021500;8043222000.0;DEMAIS;42816200;BA;CAMACARI;POLO INDUSTRIAL DE CAMACARI;ETENO
20;16404287000155;SUZANO S.A.;SUZANO PAPEL E CELULOSE;2;1987-12-17;Sociedade Anônima Aberta;1710900;19269282000.0;DEMAIS;41810012;BA;SALVADOR;PITUBA;PROFESSOR MAGALHAES NETO
21;60701190000104;ITAU UNIBANCO S.A.;ITAU UNIBANCO;2;1944-08-22;Sociedade Anônima Fechada;6421200;74567450000.0;DEMAIS;04344902;SP;SAO PAULO;PARQUE JABAQUARA;ALFREDO EGYDIO DE SOUZA ARANHA
22;60746948000112;BANCO BRADESCO S.A.;BRADESCO EST UNIF;2;1943-03-02;Sociedade Anônima Aberta;6422100;87100000000.0;DEMAIS;06029900;SP;OSASCO;VILA YARA;CIDADE DE DEUS
23;00360305000104;CAIXA ECONOMICA FEDERAL;CEF MATRIZ;2;1971-02-03;Empresa Pública;6423900;105300000000.0;DEMAIS;70092900;DF;BRASILIA;ASA SUL;SETOR SBS
24;90400888000142;BANCO SANTANDER (BRASIL) S.A.;;2;1985-08-12;Sociedade Anônima Aberta;6422100;65000000000.0;DEMAIS;04543011;SP;SAO PAULO;VILA NOVA CONCEICAO;PRES JUSCELINO KUBITSCHEK
25;30306294000145;BANCO BTG PACTUAL S.A.;;2;1979-06-05;Sociedade Anônima Aberta;6422100;16004582000.0;DEMAIS;22250911;RJ;RIO DE JANEIRO;BOTAFOGO;BOTAFOGO
26;02332886000104;XP INVESTIMENTOS CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS S/A;XP INVESTIMENTOS CCTVM S/A;2;1997-12-18;Sociedade Anônima Fechada;6612601;5298353000.0;DEMAIS;22250911;RJ;RIO DE JANEIRO;BOTAFOGO;BOTAFOGO
27;18236120000158;NU PAGAMENTOS S.A. - INSTITUICAO DE PAGAMENTO;;2;2013-06-04;Sociedade Anônima Fechada;6619399;8658550000.0;DEMAIS;05409000;SP;SAO PAULO;PINHEIROS;CAPOTE VALENTE
28;09346601000125;B3 S.A. - BRASIL, BOLSA, BALCAO;B3 S.A. BRASIL, BOLSA, BALCAO;2;2007-12-21;Sociedade Anônima Aberta;6611803;12898655000.0;DEMAIS;01010901;SP;SAO PAULO;CENTRO;ANTONIO PRADO
29;61198164000160;PORTO SEGURO COMPANHIA DE SEGUROS GERAIS;;2;1966-02-09;Sociedade Anônima Fechada;6512000;3810299400.0;DEMAIS;01205001;SP;SAO PAULO;CAMPOS ELISEOS;RIO BRANCO
30;29978814000187;SUL AMERICA S A;;8;1978-04-11;Sociedade Anônima Aberta;6499902;4619882500.0;DEMAIS;20211903;RJ;RIO DE JANEIRO;CIDADE NOVA;BEATRIZ LARRAGOITI LUCAS
31;07526557000100;AMBEV S.A.;;2;2005-07-19;Sociedade Anônima Aberta;1113502;58308215000.0;DEMAIS;04530001;SP;SAO PAULO;ITAIM BIBI;DR RENATO PAES DE BARROS
32;02916265000160;JBS S/A;;2;1998-12-16;Sociedade Anônima Aberta;1011201;23631071000.0;DEMAIS;05118100;SP;SAO PAULO;VILA JAGUARA;MARGINAL DIREITA DO TIETE
33;01838723000127;BRF S.A.;;2;1997-05-14;Sociedade Anônima Aberta;1012101;13653418000.0;DEMAIS;88301600;SC;ITAJAI;FAZENDA;JORGE TZACHEL
34;03853896000140;MARFRIG GLOBAL FOODS S.A.;MARFRIG;2;2000-06-06;Sociedade Anônima Aberta;1011201;15468782000.0;DEMAIS;05319000;SP;SAO PAULO;VILA HAMBURGUESA;QUEIROZ FILHO
35;07206816000115;M DIAS BRANCO S.A. INDUSTRIA E COMERCIO DE ALIMENTOS;FABRICA FORTALEZA;2;1966-08-29;Sociedade Anônima Aberta;1062700;2508400600.0;DEMAIS;61766650;CE;EUSEBIO;JABUTI;BR-116
36;64904295000103;CAMIL ALIMENTOS S.A.;;2;1990-12-04;Sociedade Anônima Aberta;1061901;950373760.0;DEMAIS;05402918;SP;SAO PAULO;PINHEIROS;REBOUCAS
37;47960950000121;MAGAZINE LUIZA S/A;MAGAZINE LUIZA;2;1966-10-24;Sociedade Anônima Aberta;4713004;14202162000.0;DEMAIS;14400490;SP;FRANCA;CENTRO;VOLUNTARIOS DA FRANCA
38;00776574000156;AMERICANAS S.A - EM RECUPERACAO JUDICIAL;;2;1995-08-22;Sociedade Anônima Aberta;4789099;39918280000.0;DEMAIS;06210108;SP;OSASCO;PRESIDENTE ALTINO;HENRY FORD
39;47508411000156;COMPANHIA BRASILEIRA DE DISTRIBUICAO;;2;1981-11-19;Sociedade Anônima Aberta;4789099;2511184100.0;DEMAIS;01402000;SP;SAO PAULO;JD PAULISTA;BRIGADEIRO LUIZ ANTONIO
40;45543915000181;CARREFOUR COMERCIO E INDUSTRIA LTDA;;2;1974-06-21;Sociedade Empresária Limitada;4711301;10604964000.0;DEMAIS;06460020;SP;BARUERI;TAMBORE;TUCUNARE
41;03007331000141;EBAZAR.COM.BR. LTDA;EBAZAR.COM.BR;2;1999-02-12;Sociedade Empresária Limitada;7490104;2250558200.0;DEMAIS;06233903;SP;OSASCO;BONFIM;DAS NACOES UNIDAS
